name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
Balik Arts,Hackney,,010008332171,E09000012,Stoke Newington,E05009385,,The Basement,86 Stoke Newington High Street,533614.0001221001,186232.00012210011,-0.07233757182383546,51.55864636136445,11/27/2022
Cineworld Illford,Redbridge,,010034911858,E09000026,Ilford Town,E05011246,,Clements Rd,,543918.5200805962,186375.70007319748,0.07628429430137075,51.55740238535994,11/27/2022
Vue Harrow,Harrow,,200000313205,E09000015,Greenhill,E05000288,,St Anns Road,,515187.0001221001,188263.00012210011,-0.33738970734283125,51.58096726765581,11/27/2022
Vue Romford,Havering,,200002674389,E09000016,Romford Town,E05000319,,1-15 Waterloo Rd,,551168.3400878981,188477.9600829929,0.1817007623480088,51.57439657333553,11/27/2022
Crouch End Picturehouse,Haringey,,100023207152,E09000014,Crouch End,E05000269,,165 Tottenham Lane,,530312.0001221001,188622.00012210011,-0.11906134495512047,51.58089926433547,11/27/2022
Arthouse Crouch End,Haringey,,100023208418,E09000014,Crouch End,E05000269,,159A Tottenham Lane,Crouch End,530358.0001221001,188671.00012210011,-0.11837956673981229,51.58132901391286,11/27/2022
Empire Walthamstow,Waltham Forest,,200001433603,E09000031,High Street,E05000599,,267 High St,Walthamstow,537263.0001221001,189207.00012210011,-0.01856400456450555,51.58450643560708,11/27/2022
Phoenix (East Finchley),Barnet,,000200061366,E09000003,East Finchley,E05000049,,52 High Road,East Finchley,527312.0701293945,189336.25012210011,-0.16207935928403538,51.588004519469884,11/27/2022
Everyman Muswell Hill,Haringey,,100023143835,E09000014,Muswell Hill,E05000274,,Fortis Green Rd,,528519.0001221001,189489.00012210011,-0.14460955168006992,51.58910334496989,11/27/2022
Cineworld Wood Green,Haringey,,010003977027,E09000014,Noel Park,E05000275,The Mall Wood Green,High Rd,Wood Green,531043.0001221001,190104.00012210011,-0.10796280467423051,51.59404917348833,11/27/2022
Odeon South Woodford,Redbridge,,010034922603,E09000026,South Woodford,E05011252,,60-64 High Road,,540237.0001221001,190351.00012210011,0.024795277495520216,51.59405494055922,11/27/2022
Odeon South Woodford,Redbridge,,010034922603,E09000026,South Woodford,E05011252,,60-64 High Road,,540237.0001221001,190351.00012210011,0.024795277495520216,51.59405494055922,11/27/2022
Vue Wood Green,Haringey,,010003971546,E09000014,Noel Park,E05000275,Hollywood Green,180 High Road,,531098.0001221001,190362.00012210011,-0.10707274497426163,51.596355136638124,11/27/2022
Vue North Finchley,Barnet,,000200217093,E09000003,Woodhouse,E05000063,Great North Leisure Park,Chaplin Square,,526602.6301269978,191024.34008789808,-0.17170618521524744,51.60333657551914,11/27/2022
Vue North Finchley,Barnet,,000200217093,E09000003,Woodhouse,E05000063,Great North Leisure Park,Chaplin Square,,526602.6301269978,191024.34008789808,-0.17170618521524744,51.60333657551914,11/27/2022
Odeon Lee Valley,Enfield,,000207190597,E09000010,Jubilee,E05000203,,Picketts Lock Lane,Edmonton,535936.0001221001,194533.00012210011,-0.03564203726735414,51.632693208270254,11/27/2022
Cineworld Enfield,Enfield,www.cineworld.co.uk,000207192143,E09000010,Southbury,E05000207,Southbury Leisure Centre,208 Southbury Rd,,534250.0001221001,196368.00012210011,-0.059286489989043734,51.64958952576586,11/27/2022
Curzon Aldgate,Tower Hamlets,,000006701865,E09000030,Whitechapel,E05009336,2 Canter Way,2 Canter Way,Goodman's Fields,534102.0001221001,181200.00012210011,-0.06721853299972853,51.51330631088864,11/27/2022
Sands Film Cinema,Southwark,,010025575039,E09000028,Borough & Bankside,E05011095,82 St Marychurch St,42 Newighton Causeway,,532134.3001098931,179457.00012210011,-0.09621473586995899,51.498104761730076,11/27/2022
